model_name,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,train_median_ae,val_median_ae,test_median_ae,train_mape,val_mape,test_mape,train_smape,val_smape,test_smape,train_bias,val_bias,test_bias,cv_train_mae_mean,cv_train_mae_std,cv_val_mae_mean,cv_val_mae_std,cv_train_rmse_mean,cv_val_rmse_mean,cv_val_r2_mean,cv_gap_mae_mean,cv_gap_rmse_mean,cv_bias_mean,cv_median_ae_mean,cv_mape_mean,cv_smape_mean,holdout_val_rank,cv_val_rank
lightgbm,8.353497676262501,11.992522042005895,13.030125147523407,17.709962114746002,32.19470849865804,33.463080801318625,0.9951260874292323,0.9805935798595338,0.9815802693642015,2.274983092155111,2.219542918918032,2.1874680974416996,50.715152910659114,59.705343498514715,77.17208467330319,35.485927723791356,38.34115785264944,39.13031317842927,2.4260102456251605e-10,3.0204226669297767,-2.5611948598965055,8.666373739959395,0.529174737466207,12.988271659841521,1.8115351281923424,18.499339165667237,35.27964274455636,0.9811500158696157,4.321897919882126,16.78030357888913,0.43331925256306264,2.2737491020262453,54.07099451551958,37.81986443600437,1.0,2.0
extra_trees,2.601683822641302,12.037379929372179,13.616365741707382,7.636370002367468,33.58591940594637,37.94925350690936,0.9990938159869455,0.9788801456890184,0.9763103903001455,0.4507575757575797,2.0681818181818175,1.994886363636366,10.71049209388135,57.827128212922304,74.64496978655806,9.255397074355797,35.7080948774618,35.96551506538058,4.1621605449647004e-16,3.5733381364723122,-2.4828895851322197,5.377658584641967,0.31032247390579876,12.651514381246102,2.1652918612786443,14.915028696274964,34.626613048109725,0.9818621945228667,7.273855796604135,19.71158435183476,1.2403680671693647,2.1034970238095227,49.36939434866249,33.92754303492342,2.0,1.0
xgboost,9.549229621887207,12.624920845031738,13.552657127380371,20.91225083790413,34.16603566649287,35.109136834416944,0.9932041168212891,0.9781442284584045,0.9797235727310181,2.352286696434021,2.2780351638793945,2.2498722076416016,54.94642386327839,64.73439099914916,79.7986630813386,36.97306124424361,40.460994028404414,40.65858416034425,-0.0030998119099162978,2.954932747838987,-2.51920205707262,9.87844975789388,0.6450911591467018,13.27370516459147,1.660048829722202,21.45221296841822,35.48324481141973,0.9810030062993368,3.3952554066975913,14.031031843001514,0.3921817636374474,2.3235097924868264,58.80394920846379,38.95743315458634,3.0,3.0
hist_gradient_boosting,10.49336588042277,12.77742581396721,13.886222223807245,24.349003195158865,33.94860271207233,36.165661323670946,0.9907869199741927,0.9784215501433593,0.9784848562178309,2.349808676929036,2.2239287569861856,2.1829855102347837,55.03311257562097,64.15410668251029,79.74108395468618,37.36294792085419,39.84446027371717,40.32749982414125,0.004175034167510091,2.8304242713632997,-2.5465821334744323,11.004884761609686,0.02858578838654394,13.537452360770173,1.6347830746565883,25.759086247512272,36.32074339734731,0.9801514269621375,2.5325675991604863,10.561657149835034,0.40761374649261434,2.2739131865735733,59.01568995626122,39.637155475577764,4.0,4.0
random_forest,7.221581198781505,12.807103798300215,13.551783359760769,19.718977795084598,35.476627154513146,37.128064886949254,0.9939575750344112,0.9764353451804962,0.9773245424255596,1.4472469998128357,2.066925181300192,2.041292239157157,33.31036868088491,57.46267495736388,61.02180508103757,24.90063979079171,36.07372603019687,36.18723092346303,0.034682045884753473,2.985739682481275,-3.4362201461481194,8.790502145180277,0.2506501229266332,13.550510466266601,1.9142501357478736,23.780914246520187,37.35924268698067,0.9790042784758036,4.760008321086324,13.578328440460487,1.0728965549098735,2.1710863787972596,51.001697389097274,34.823671755874074,5.0,5.0
catboost,10.515393776782462,13.049740298134472,14.597263827113153,23.777306071451253,33.69604374997584,39.08506816577697,0.9912144740343507,0.9787414195100529,0.9748711173513205,2.696775462391173,2.709430673332051,2.674942776032509,66.56608763899182,81.29221865918694,98.65898625741958,47.508601677161636,53.2047112064614,53.68490019048353,-0.0018360322681359655,2.763456475966784,-3.5101596878661265,11.765700517443799,0.3126720521962942,13.809996255713193,1.8650560397403175,26.458277974418404,35.63313504081005,0.9807153408742432,2.0442957382693954,9.174857066391645,-0.055968385778502494,3.1195440488116497,85.18380512405167,53.06779059269693,6.0,6.0
gradient_boosting,12.555614632601527,14.689077783088168,15.189251449107385,29.754631161761495,38.063756387996044,39.005184559446185,0.9862421169805642,0.9728731275487534,0.9749737311870373,2.6097969528501253,2.471969470072544,2.4642306607701605,67.977256671509,77.16025462501209,96.17766151537369,42.363656276402,45.35553939821593,45.53336108209158,-7.424768519945343e-15,2.8933368393495904,-2.8115629124530797,13.367041895546292,0.6063405004172413,14.90131014254374,1.2588020627501908,30.90889302215558,38.328765823791656,0.9780360172104663,1.5342682469974491,7.4198728016360755,0.7822475841399137,2.6189200652801907,83.33746173198483,47.28508007132945,7.0,7.0
neural_network,14.354432106018066,15.49349308013916,19.78009033203125,42.0581611107241,42.49163807904592,57.14568356744562,0.9725120067596436,0.9661948084831238,0.9462822079658508,2.0352184772491455,2.1383209228515625,2.1252135038375854,37.80323501932852,56.939428161094995,77.17848475721944,32.90758855261135,37.56407109380165,38.88517651362181,-0.45257838946816265,-0.7401251795356579,-9.641905029412808,25.278423309326172,2.3464834024824714,26.431015650431316,6.468870275179216,72.99170994082444,83.89803848137159,0.8936655322710673,1.1525923411051433,10.906328540547143,-14.539954915946575,2.8040698369344077,59.68422452398102,45.614172360063186,8.0,10.0
ridge_regression,19.060099145527417,19.96510346767618,19.441560393493123,45.27243573825297,48.125541370119684,46.92927420290246,0.9681499446020183,0.9566361642289707,0.9637724382072107,6.258208228391595,6.260876935280976,5.646185632176639,169.629015846325,187.58687497465138,195.2450642934046,83.21585311025551,94.70476726710204,84.42458741613422,-1.7158392326655182e-11,2.106890467437519,-2.7956745394339513,19.843632923821705,0.35897433720554023,19.568895032091277,1.1770637378165725,45.984550742103856,45.524942313603106,0.9692311170367024,-0.2747378917304282,-0.45960842850074596,-0.3755822551749208,6.8677338357883855,197.52147850974276,89.22419699765796,9.0,8.0
linear_regression,19.060267003760003,19.96537549882174,19.441680550832398,45.27243571529239,48.12559823233038,46.929278471632934,0.9681499446343247,0.9566360617567718,0.963772431616625,6.258131001006404,6.260002662602346,5.6467117760912515,169.63846702555452,187.59914621237323,195.25167871234683,83.21730675535541,94.70579944698493,84.4236303072315,-3.3458705608583665e-12,2.106608107492723,-2.7955559827603236,19.84410085583698,0.3591625006899354,19.570955429563636,1.1794504237057872,45.98455052469672,45.525152310094825,0.9692308278860642,-0.2731454262733474,-0.4593982146018997,-0.4002947944910719,6.866539797641356,197.5875942711158,89.29226778909667,10.0,9.0
