pickup_zone,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
40.8_-73.96,113,11.32260419227899,7.364877615787563,3.129627044252319,16.161462326020185,30.273915061720494
40.79_-73.96,112,10.98243111137062,8.350747189950248,-0.33022476655275207,15.20906969304683,29.947198873827105
40.81_-73.96,115,10.51933050869916,7.918997449873842,1.610603205331852,13.929010013697729,27.93269449435379
40.71_-74.0,116,9.996299149672073,7.751524149465382,3.0513786525390936,13.600349834377925,27.355823799225988
40.71_-73.96,111,8.974541921115968,5.8747021063936415,3.4754866004509615,14.228345132604261,25.167500766025405
40.69_-73.99,113,8.272871002242491,5.30925018688373,1.338179125868844,11.820636666737261,25.485649894576966
40.77_-73.89,89,7.626148881086039,5.576386545571718,-0.04719369652115223,10.38165109071444,21.016437826028913
40.79_-73.94,115,7.598244253931906,6.120818449531512,1.8175185242782608,10.214413830507194,21.738125584169655
40.8_-73.94,118,7.47896692235296,5.32825404631371,0.6512097817979668,9.611145277008848,21.127875975304363
40.76_-73.95,112,7.433376119857782,5.659887514107652,0.04274926459598546,9.821302248727989,19.41581900812797
40.72_-74.02,105,7.37200974698668,5.44481808192441,-1.2102571756555147,10.108750731961827,20.75359264644047
40.72_-73.96,108,7.320106771803654,3.7533819311096503,2.437542299592938,12.78800034909686,19.061706127085944
40.81_-73.95,114,7.060074585064449,4.599239309316742,1.626769368103357,9.875174886783874,21.742297752962564
40.8_-73.95,117,6.91270329959383,4.65003740515921,1.9741637626188435,9.493603229774006,18.464815365075417
40.78_-73.94,108,6.880230022855845,5.3829050474873155,0.22945436034848307,9.44838980842443,18.88550935739203
40.68_-74.0,108,6.784036030073459,3.614120720957838,-0.6971059596465032,11.190718848179422,23.409663852409416
40.77_-74.0,87,6.645438681484215,2.726316440447249,-0.42787253544518483,13.713896493966985,22.17526792447259
40.81_-73.94,112,6.053881917754225,4.690144972854038,0.6808929514721768,8.234569843488938,18.061689436072395
