pickup_date,hour,pickup_zone,actual_demand,predicted_demand,static_price,static_revenue,optimal_price,optimal_revenue,uplift_percent
2015-01-27T00:00:00,23,40.76_-73.92,13.0,12.488882767494328,7.6923075,96.06832657901738,10.769230625,117.3841531037569,22.188193844728826
2015-01-31T00:00:00,5,40.81_-73.97,1.0,5.72823562741297,5.0,28.641178137064852,7.0,35.23506367531572,23.02239630889224
2015-01-28T00:00:00,14,40.77_-73.98,561.0,463.65847301365966,10.892157,5050.240882445044,15.16911775,6292.347858912257,24.595004582550807
2015-01-31T00:00:00,8,40.7_-74.0,1.0,1.4078131121677209,10.5,14.78203767776107,14.875,18.440295031183457,24.74799099535564
2015-01-27T00:00:00,8,40.79_-73.95,13.0,35.15541903741452,10.769231,378.59682851571455,15.07692325,476.20293255126956,25.781014705859757
2015-01-27T00:00:00,23,40.82_-73.95,17.0,11.966699204663952,9.705882,116.14737040996218,13.2794115,140.20239987848217,20.710782675159685
2015-01-29T00:00:00,7,40.83_-73.95,24.0,16.512193826072004,11.875,196.08230168460506,16.90625,246.96972064131543,25.95207141058651
2015-01-30T00:00:00,20,40.71_-73.99,35.0,19.977747625170643,11.771428,235.1666177718672,16.828571,290.4824720718198,23.52198404010469
2015-01-27T00:00:00,21,40.72_-73.99,324.0,244.25270496765293,9.902778,2418.780313194164,13.4270835,2964.851444708586,22.576301309203963
2015-01-28T00:00:00,12,40.64_-73.78,80.0,48.855201187178054,47.91875,2341.0801718880884,64.9390625,2836.780285749655,21.173991382865918
2015-01-29T00:00:00,2,40.69_-73.99,11.0,11.3365415854205,13.045455,147.8903431082318,17.78409125,178.17410703499326,20.477174702744882
2015-01-29T00:00:00,8,40.72_-73.94,1.0,1.909357270098389,19.0,36.27778813186939,26.25,44.33752353318124,22.216722177258415
2015-01-29T00:00:00,23,40.76_-73.87,1.0,1.73669092613315,15.0,26.05036389199725,20.25,30.809908091633066,18.270547848653898
2015-01-30T00:00:00,3,40.77_-73.95,23.0,26.63161685386114,9.413043,250.6845546049196,13.05978225,307.8465161397048,22.80234680787287
2015-01-31T00:00:00,3,40.65_-73.98,1.0,1.3830412024598802,6.5,8.989767815989222,9.0,10.767025485356632,19.769783889261028
2015-01-30T00:00:00,10,40.77_-73.94,1.0,2.6643082766374384,10.0,26.643082766374384,13.5,31.510919951561274,18.270547848653887
2015-01-30T00:00:00,19,40.78_-73.94,49.0,36.7699753882488,11.459184,421.3539136494145,15.594388,520.5945196016673,23.552790833889233
2015-01-31T00:00:00,13,40.69_-73.93,1.0,1.5750637190301724,6.5,10.23791417369612,9.0,12.346898781209976,20.59974885248002
2015-01-30T00:00:00,14,40.71_-73.98,4.0,2.5294839763474277,14.0,35.412775668863986,19.5,42.518096512108315,20.06428671303376
2015-01-29T00:00:00,6,40.67_-73.98,5.0,2.985492214810891,16.5,49.2606215443797,22.375,58.38844346650994,18.529652359150266
2015-01-30T00:00:00,16,40.8_-73.94,36.0,36.66869246280023,10.125,371.27051118585234,14.59375,475.4886767472038,28.0706822711221
2015-01-29T00:00:00,0,40.85_-73.92,1.0,1.4132864648039734,8.5,12.012934950833774,12.375,14.59467039895377,21.491296329218926
2015-01-29T00:00:00,18,40.69_-73.83,1.0,1.4880777389635236,43.0,63.987342775431514,58.25,76.90588348821397,20.189212666825483
2015-01-28T00:00:00,19,40.71_-73.94,3.0,3.486940779848494,9.666667,33.707095367515706,13.250000249999996,41.01425857613462,21.678412598140973
2015-01-27T00:00:00,5,40.77_-73.95,3.0,36.68876488679609,7.6666665,281.2805246839759,10.749999875,347.47458658056905,23.533112351437577
2015-01-30T00:00:00,9,40.74_-73.95,5.0,5.134564045926562,8.9,45.697620008746405,12.675,57.5683491806894,25.9766901857711
2015-01-31T00:00:00,2,40.79_-73.94,23.0,22.454652025869027,13.108696,294.3512071929012,17.831522,359.47737446669953,22.12532705229176
2015-01-31T00:00:00,21,40.62_-74.03,2.0,0.6414452781758145,10.0,6.414452781758145,13.5,7.588918066077713,18.30967230220466
2015-01-30T00:00:00,0,40.78_-73.92,2.0,1.742859317246247,13.25,23.092885953512774,17.9375,27.349387362511187,18.432089508288314
2015-01-28T00:00:00,23,40.75_-73.98,792.0,738.0100195189142,11.469066,8464.285622523716,15.6017995,10396.1207054468,22.823368315719563
2015-01-27T00:00:00,5,40.73_-74.0,2.0,49.45351939935911,13.25,655.2591320415082,17.9375,793.5273767864385,21.10130755662196
2015-01-31T00:00:00,15,40.73_-73.96,2.0,1.6485146139317177,9.75,16.07301748583425,13.3125,19.247255450377246,19.748861514899556
2015-01-29T00:00:00,10,40.78_-73.98,562.0,486.9270260667872,10.887011,5301.1798889863985,15.165258249999999,6605.877105302736,24.611449594965535
2015-01-29T00:00:00,11,40.72_-73.95,1.0,2.8187272748245236,20.0,56.37454549649047,27.0,66.67448380588792,18.27054784865389
2015-01-31T00:00:00,13,40.81_-73.92,2.0,1.5147688285191,8.75,13.254227249542126,12.5625,16.273109550580855,22.776750724136093
2015-01-27T00:00:00,20,40.64_-73.79,9.0,14.967583008962077,48.944443,732.5800134299128,66.70833225,870.4630656253776,18.82156893004784
2015-01-30T00:00:00,22,40.75_-73.93,8.0,9.227934619987042,13.875,128.03759285232022,19.40625,156.36768110236042,22.126383055886095
2015-01-28T00:00:00,22,40.74_-73.9,1.0,2.9541665071615277,7.0,20.679165550130694,10.25,25.406225814104772,22.859047443257218
2015-01-30T00:00:00,0,40.76_-73.98,974.0,943.9209554294081,12.010267,11336.742701602292,17.00770025,14267.58119620923,25.85256251950311
2015-01-27T00:00:00,6,40.68_-73.93,1.0,1.5057159626671892,21.0,31.620035216010972,28.75,37.65276062859321,19.07880674822124
